                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2959,                0.04781,                0.12985,                 4.5651,             0.00023741,             0.00023741,             0.00023741
                      2,                0.73761,                0.04528,                0.11944,                  4.558,             0.00046196,             0.00046196,             0.00046196
                      3,                0.29114,                0.04481,                0.13695,                 4.5583,             0.00067305,             0.00067305,             0.00067305
                      4,                0.18474,                0.04591,                0.14295,                 4.5555,             0.00065341,             0.00065341,             0.00065341
                      5,                0.13706,                 0.0467,                0.13096,                 4.5568,             0.00065341,             0.00065341,             0.00065341
                      6,                0.11693,                0.04528,                0.14247,                 4.5551,             0.00063322,             0.00063322,             0.00063322
                      7,                 0.1027,                0.04686,                0.12749,                 4.5555,             0.00061302,             0.00061302,             0.00061302
                      8,                0.08478,                0.04623,                0.13553,                 4.5568,             0.00059282,             0.00059282,             0.00059282
                      9,                0.06857,                0.04623,                0.11534,                 4.5562,             0.00057263,             0.00057263,             0.00057263
                     10,                0.06554,                0.04623,                 0.1136,                 4.5561,             0.00055243,             0.00055243,             0.00055243
                     11,                0.05806,                0.04686,                0.11202,                  4.556,             0.00053224,             0.00053224,             0.00053224
                     12,                0.06174,                0.04639,                0.11234,                 4.5563,             0.00051204,             0.00051204,             0.00051204
                     13,                0.05196,                0.04654,                0.12433,                 4.5562,             0.00049184,             0.00049184,             0.00049184
                     14,                0.04817,                0.04702,                0.13411,                  4.556,             0.00047165,             0.00047165,             0.00047165
                     15,                0.05259,                0.04639,                0.11455,                 4.5541,             0.00045145,             0.00045145,             0.00045145
                     16,                0.04005,                0.04639,                0.12212,                 4.5561,             0.00043126,             0.00043126,             0.00043126
                     17,                0.03304,                 0.0467,                0.12338,                 4.5562,             0.00041106,             0.00041106,             0.00041106
                     18,                0.03901,                0.04623,                 0.1177,                 4.5562,             0.00039086,             0.00039086,             0.00039086
                     19,                0.02859,                0.04686,                0.12038,                 4.5557,             0.00037067,             0.00037067,             0.00037067
                     20,                0.02718,                 0.0467,                0.11975,                  4.556,             0.00035047,             0.00035047,             0.00035047
                     21,                0.03433,                0.04639,                0.11739,                 4.5564,             0.00033028,             0.00033028,             0.00033028
                     22,                0.03169,                0.04607,                0.10634,                 4.5564,             0.00031008,             0.00031008,             0.00031008
                     23,                0.02651,                0.04639,                0.12165,                 4.5563,             0.00028988,             0.00028988,             0.00028988
                     24,                0.02416,                0.04654,                0.13033,                 4.5561,             0.00026969,             0.00026969,             0.00026969
                     25,                0.01813,                0.04654,                0.12401,                 4.5563,             0.00024949,             0.00024949,             0.00024949
                     26,                0.02801,                0.04686,                0.12086,                 4.5534,              0.0002293,              0.0002293,              0.0002293
                     27,                0.02621,                0.04654,                0.12054,                 4.5561,              0.0002091,              0.0002091,              0.0002091
                     28,                0.02077,                0.04654,                0.11849,                 4.5563,              0.0001889,              0.0001889,              0.0001889
                     29,                0.02109,                0.04639,                0.11833,                 4.5562,             0.00016871,             0.00016871,             0.00016871
                     30,                0.01731,                0.04639,                0.11818,                 4.5562,             0.00014851,             0.00014851,             0.00014851
                     31,                0.01602,                0.04654,                0.12386,                 4.5538,             0.00012832,             0.00012832,             0.00012832
                     32,                0.01597,                0.04639,                0.12102,                 4.5561,             0.00010812,             0.00010812,             0.00010812
                     33,                0.01525,                0.04654,                0.12149,                 4.5561,             8.7924e-05,             8.7924e-05,             8.7924e-05
                     34,                0.01841,                0.04639,                0.12196,                 4.5561,             6.7728e-05,             6.7728e-05,             6.7728e-05
                     35,                0.01375,                0.04654,                0.12102,                 4.5561,             4.7532e-05,             4.7532e-05,             4.7532e-05
