                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.675,                0.61372,                0.83756,                  4.167,             0.00023736,             0.00023736,             0.00023736
                      2,                 1.5237,                0.88268,                0.98216,                 3.7611,             0.00046192,             0.00046192,             0.00046192
                      3,                0.80391,                0.93139,                0.99245,                 3.6637,             0.00067301,             0.00067301,             0.00067301
                      4,                0.58893,                0.95232,                0.99571,                 3.6245,             0.00065341,             0.00065341,             0.00065341
                      5,                0.50244,                0.96432,                0.99726,                 3.5995,             0.00065341,             0.00065341,             0.00065341
                      6,                 0.4149,                0.96484,                0.99863,                 3.5934,             0.00063322,             0.00063322,             0.00063322
                      7,                0.34434,                0.97393,                0.99914,                 3.5787,             0.00061302,             0.00061302,             0.00061302
                      8,                0.33176,                 0.9789,                0.99931,                 3.5731,             0.00059282,             0.00059282,             0.00059282
                      9,                0.32128,                0.98062,                0.99931,                 3.5687,             0.00057263,             0.00057263,             0.00057263
                     10,                0.26447,                0.98628,                0.99966,                 3.5596,             0.00055243,             0.00055243,             0.00055243
                     11,                0.25181,                0.98696,                0.99966,                 3.5568,             0.00053224,             0.00053224,             0.00053224
                     12,                0.23584,                 0.9837,                0.99966,                 3.5581,             0.00051204,             0.00051204,             0.00051204
                     13,                0.21218,                0.98988,                0.99966,                 3.5522,             0.00049184,             0.00049184,             0.00049184
                     14,                0.22377,                0.98782,                0.99966,                  3.553,             0.00047165,             0.00047165,             0.00047165
                     15,                0.18914,                0.99039,                0.99983,                 3.5502,             0.00045145,             0.00045145,             0.00045145
                     16,                0.18821,                0.98954,                0.99983,                 3.5452,             0.00043126,             0.00043126,             0.00043126
                     17,                 0.1835,                 0.9928,                0.99983,                 3.5438,             0.00041106,             0.00041106,             0.00041106
                     18,                0.17635,                0.99125,                0.99983,                 3.5462,             0.00039086,             0.00039086,             0.00039086
                     19,                0.15403,                0.99057,                0.99966,                 3.5453,             0.00037067,             0.00037067,             0.00037067
                     20,                0.16141,                0.99365,                0.99983,                 3.5429,             0.00035047,             0.00035047,             0.00035047
                     21,                0.16146,                0.99434,                0.99966,                 3.5414,             0.00033028,             0.00033028,             0.00033028
                     22,                0.15016,                 0.9952,                0.99983,                 3.5407,             0.00031008,             0.00031008,             0.00031008
                     23,                0.12926,                0.99331,                0.99983,                 3.5412,             0.00028988,             0.00028988,             0.00028988
                     24,                0.11536,                0.99485,                0.99983,                 3.5402,             0.00026969,             0.00026969,             0.00026969
                     25,                0.12733,                0.99485,                0.99983,                 3.5392,             0.00024949,             0.00024949,             0.00024949
                     26,                0.11138,                0.99657,                0.99983,                 3.5375,              0.0002293,              0.0002293,              0.0002293
                     27,                 0.1219,                0.99588,                0.99983,                  3.539,              0.0002091,              0.0002091,              0.0002091
                     28,                0.12395,                0.99743,                0.99983,                 3.5367,              0.0001889,              0.0001889,              0.0001889
                     29,                0.10953,                0.99674,                0.99983,                 3.5362,             0.00016871,             0.00016871,             0.00016871
                     30,                0.09625,                 0.9976,                0.99983,                 3.5356,             0.00014851,             0.00014851,             0.00014851
                     31,                0.09921,                0.99828,                0.99983,                 3.5359,             0.00012832,             0.00012832,             0.00012832
                     32,                 0.1004,                0.99743,                0.99983,                 3.5353,             0.00010812,             0.00010812,             0.00010812
                     33,                 0.1063,                0.99846,                0.99983,                 3.5346,             8.7924e-05,             8.7924e-05,             8.7924e-05
                     34,                0.09461,                0.99777,                0.99983,                 3.5353,             6.7728e-05,             6.7728e-05,             6.7728e-05
                     35,                0.08504,                0.99777,                0.99983,                  3.535,             4.7532e-05,             4.7532e-05,             4.7532e-05
