                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6633,                0.59365,                0.84391,                 4.1587,             0.00023736,             0.00023736,             0.00023736
                      2,                 1.5127,                0.87633,                0.97976,                 3.7753,             0.00046191,             0.00046191,             0.00046191
                      3,                0.78184,                0.93173,                0.99537,                   3.67,               0.000673,               0.000673,               0.000673
                      4,                0.57977,                0.95986,                0.99674,                 3.6256,             0.00065341,             0.00065341,             0.00065341
                      5,                0.50036,                0.96861,                 0.9976,                 3.5966,             0.00065341,             0.00065341,             0.00065341
                      6,                0.41346,                0.97221,                 0.9988,                 3.5873,             0.00063322,             0.00063322,             0.00063322
                      7,                0.36433,                0.97907,                 0.9988,                 3.5716,             0.00061302,             0.00061302,             0.00061302
                      8,                0.34455,                0.98148,                0.99914,                 3.5681,             0.00059282,             0.00059282,             0.00059282
                      9,                0.29274,                0.98593,                0.99863,                 3.5607,             0.00057263,             0.00057263,             0.00057263
                     10,                0.29101,                0.98027,                0.99966,                  3.565,             0.00055243,             0.00055243,             0.00055243
                     11,                 0.2499,                0.98662,                0.99966,                 3.5563,             0.00053224,             0.00053224,             0.00053224
                     12,                0.24367,                0.98696,                0.99966,                 3.5534,             0.00051204,             0.00051204,             0.00051204
                     13,                0.22074,                0.98834,                0.99983,                  3.553,             0.00049184,             0.00049184,             0.00049184
                     14,                0.21801,                0.99057,                0.99966,                 3.5505,             0.00047165,             0.00047165,             0.00047165
                     15,                 0.1917,                0.99108,                0.99983,                 3.5464,             0.00045145,             0.00045145,             0.00045145
                     16,                0.19051,                 0.9916,                0.99983,                 3.5471,             0.00043126,             0.00043126,             0.00043126
                     17,                0.16838,                0.98919,                0.99966,                 3.5474,             0.00041106,             0.00041106,             0.00041106
                     18,                0.17327,                0.99005,                0.99966,                 3.5466,             0.00039086,             0.00039086,             0.00039086
                     19,                0.16264,                 0.9928,                0.99983,                 3.5438,             0.00037067,             0.00037067,             0.00037067
                     20,                 0.1648,                0.99262,                0.99983,                 3.5446,             0.00035047,             0.00035047,             0.00035047
                     21,                0.15628,                0.99434,                0.99983,                 3.5409,             0.00033028,             0.00033028,             0.00033028
                     22,                0.14221,                0.99451,                0.99983,                 3.5432,             0.00031008,             0.00031008,             0.00031008
                     23,                0.14402,                0.99554,                0.99966,                 3.5404,             0.00028988,             0.00028988,             0.00028988
                     24,                0.12279,                0.99554,                0.99983,                 3.5405,             0.00026969,             0.00026969,             0.00026969
                     25,                0.11201,                0.99657,                0.99983,                  3.539,             0.00024949,             0.00024949,             0.00024949
                     26,                0.12708,                 0.9964,                0.99983,                 3.5389,              0.0002293,              0.0002293,              0.0002293
                     27,                0.11124,                0.99657,                0.99983,                 3.5386,              0.0002091,              0.0002091,              0.0002091
                     28,                0.11387,                0.99708,                0.99983,                  3.538,              0.0001889,              0.0001889,              0.0001889
                     29,                0.10382,                0.99674,                0.99983,                 3.5373,             0.00016871,             0.00016871,             0.00016871
                     30,                0.09915,                0.99743,                0.99983,                 3.5372,             0.00014851,             0.00014851,             0.00014851
                     31,                  0.095,                0.99657,                0.99983,                 3.5368,             0.00012832,             0.00012832,             0.00012832
                     32,                0.08333,                0.99726,                0.99983,                 3.5366,             0.00010812,             0.00010812,             0.00010812
                     33,                0.08955,                0.99657,                0.99983,                 3.5362,             8.7924e-05,             8.7924e-05,             8.7924e-05
                     34,                0.09766,                0.99726,                0.99983,                 3.5363,             6.7728e-05,             6.7728e-05,             6.7728e-05
                     35,                0.08825,                0.99743,                0.99983,                 3.5358,             4.7532e-05,             4.7532e-05,             4.7532e-05
