                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7595,                0.03724,                0.10445,                 4.5702,             0.00023741,             0.00023741,             0.00023741
                      2,                 1.5534,                0.04323,                0.10334,                 4.5622,             0.00046196,             0.00046196,             0.00046196
                      3,                0.83233,                0.04465,                0.10366,                 4.5579,             0.00067305,             0.00067305,             0.00067305
                      4,                0.61155,                 0.0456,                 0.1035,                 4.5568,             0.00065341,             0.00065341,             0.00065341
                      5,                0.49545,                0.04481,                0.09861,                 4.5575,             0.00065341,             0.00065341,             0.00065341
                      6,                0.41495,                0.04686,                0.10366,                 4.5525,             0.00063322,             0.00063322,             0.00063322
                      7,                0.38265,                0.04481,                0.10192,                 4.5586,             0.00061302,             0.00061302,             0.00061302
                      8,                 0.3324,                0.04528,                0.10476,                 4.5578,             0.00059282,             0.00059282,             0.00059282
                      9,                0.30587,                0.04497,                0.10208,                 4.5576,             0.00057263,             0.00057263,             0.00057263
                     10,                0.27111,                0.04654,                0.10587,                 4.5566,             0.00055243,             0.00055243,             0.00055243
                     11,                0.26298,                0.04465,                0.10918,                 4.5583,             0.00053224,             0.00053224,             0.00053224
                     12,                0.23102,                0.04623,                0.10413,                 4.5563,             0.00051204,             0.00051204,             0.00051204
                     13,                 0.2243,                0.04623,                0.10256,                 4.5566,             0.00049184,             0.00049184,             0.00049184
                     14,                 0.2047,                0.04623,                0.10066,                 4.5567,             0.00047165,             0.00047165,             0.00047165
                     15,                0.19251,                0.04591,                 0.1024,                 4.5544,             0.00045145,             0.00045145,             0.00045145
                     16,                0.18119,                0.04639,                0.09766,                  4.556,             0.00043126,             0.00043126,             0.00043126
                     17,                0.15767,                0.04591,                 0.0994,                 4.5564,             0.00041106,             0.00041106,             0.00041106
                     18,                 0.1627,                0.04702,                0.10729,                 4.5554,             0.00039086,             0.00039086,             0.00039086
                     19,                0.16469,                0.04623,                0.09609,                  4.557,             0.00037067,             0.00037067,             0.00037067
                     20,                0.16931,                0.04607,                0.10082,                 4.5562,             0.00035047,             0.00035047,             0.00035047
                     21,                0.14355,                0.04607,                0.09782,                 4.5568,             0.00033028,             0.00033028,             0.00033028
                     22,                0.13054,                0.04576,                0.09656,                 4.5568,             0.00031008,             0.00031008,             0.00031008
                     23,                0.13317,                0.04591,                0.09309,                 4.5567,             0.00028988,             0.00028988,             0.00028988
                     24,                0.12311,                0.04686,                0.09893,                 4.5557,             0.00026969,             0.00026969,             0.00026969
                     25,                0.12605,                0.04654,                0.10208,                 4.5562,             0.00024949,             0.00024949,             0.00024949
                     26,                0.11948,                0.04607,                0.09609,                 4.5543,              0.0002293,              0.0002293,              0.0002293
                     27,                 0.1168,                0.04639,                0.09893,                 4.5564,              0.0002091,              0.0002091,              0.0002091
                     28,                0.11706,                0.04623,                0.09798,                 4.5564,              0.0001889,              0.0001889,              0.0001889
                     29,                0.10343,                0.04591,                0.10287,                 4.5568,             0.00016871,             0.00016871,             0.00016871
                     30,                0.09369,                0.04654,                0.10129,                 4.5563,             0.00014851,             0.00014851,             0.00014851
                     31,                0.10426,                0.04639,                0.09908,                 4.5542,             0.00012832,             0.00012832,             0.00012832
                     32,                0.10543,                0.04639,                0.09972,                 4.5566,             0.00010812,             0.00010812,             0.00010812
                     33,                0.09605,                0.04623,                0.09924,                 4.5566,             8.7924e-05,             8.7924e-05,             8.7924e-05
                     34,                 0.0865,                0.04623,                0.09751,                 4.5564,             6.7728e-05,             6.7728e-05,             6.7728e-05
                     35,                0.09155,                0.04607,                 0.0983,                 4.5565,             4.7532e-05,             4.7532e-05,             4.7532e-05
