                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7734,                 0.1145,                 0.2491,                 4.4924,             0.00023732,             0.00023732,             0.00023732
                      2,                 1.5991,                0.23132,                0.35026,                 4.3597,             0.00046188,             0.00046188,             0.00046188
                      3,                0.83945,                0.25143,                0.36952,                 4.3206,             0.00067297,             0.00067297,             0.00067297
                      4,                0.62769,                0.26349,                0.36825,                 4.3006,             0.00065341,             0.00065341,             0.00065341
                      5,                0.49946,                0.26878,                0.36995,                 4.2932,             0.00065341,             0.00065341,             0.00065341
                      6,                0.41247,                 0.2728,                0.35407,                 4.2871,             0.00063322,             0.00063322,             0.00063322
                      7,                 0.3958,                0.27598,                 0.3509,                 4.2847,             0.00061302,             0.00061302,             0.00061302
                      8,                  0.338,                 0.2781,                0.36339,                 4.2789,             0.00059282,             0.00059282,             0.00059282
                      9,                0.29855,                0.27683,                0.35979,                 4.2798,             0.00057263,             0.00057263,             0.00057263
                     10,                0.30737,                0.27958,                0.35873,                 4.2772,             0.00055243,             0.00055243,             0.00055243
                     11,                0.26465,                0.28063,                0.34857,                 4.2767,             0.00053224,             0.00053224,             0.00053224
                     12,                0.23283,                0.27915,                0.33947,                 4.2758,             0.00051204,             0.00051204,             0.00051204
                     13,                 0.2398,                0.28106,                0.35175,                 4.2745,             0.00049184,             0.00049184,             0.00049184
                     14,                0.21651,                0.28402,                0.35725,                 4.2713,             0.00047165,             0.00047165,             0.00047165
                     15,                 0.1943,                0.28296,                0.36889,                  4.272,             0.00045145,             0.00045145,             0.00045145
                     16,                0.17569,                0.28275,                 0.3672,                 4.2709,             0.00043126,             0.00043126,             0.00043126
                     17,                 0.1724,                0.28085,                0.36974,                  4.272,             0.00041106,             0.00041106,             0.00041106
                     18,                0.17971,                 0.2819,                0.37376,                  4.271,             0.00039086,             0.00039086,             0.00039086
                     19,                0.17274,                0.28169,                0.37143,                 4.2705,             0.00037067,             0.00037067,             0.00037067
                     20,                  0.167,                0.28275,                0.38095,                 4.2702,             0.00035047,             0.00035047,             0.00035047
                     21,                  0.156,                0.28127,                0.37481,                 4.2712,             0.00033028,             0.00033028,             0.00033028
                     22,                0.15283,                0.28233,                0.36317,                 4.2705,             0.00031008,             0.00031008,             0.00031008
                     23,                 0.1399,                0.28148,                0.36487,                 4.2707,             0.00028988,             0.00028988,             0.00028988
                     24,                0.13267,                0.28254,                0.37143,                 4.2698,             0.00026969,             0.00026969,             0.00026969
                     25,                0.13209,                0.28233,                0.36804,                 4.2694,             0.00024949,             0.00024949,             0.00024949
                     26,                0.13853,                0.28254,                0.36847,                 4.2695,              0.0002293,              0.0002293,              0.0002293
                     27,                0.12514,                0.28233,                0.36614,                 4.2696,              0.0002091,              0.0002091,              0.0002091
                     28,                0.11925,                 0.2819,                0.36762,                 4.2698,              0.0001889,              0.0001889,              0.0001889
                     29,                0.12152,                0.28254,                0.36487,                  4.269,             0.00016871,             0.00016871,             0.00016871
                     30,                0.11292,                0.28169,                0.36635,                 4.2698,             0.00014851,             0.00014851,             0.00014851
                     31,                0.10205,                0.28254,                0.36317,                 4.2691,             0.00012832,             0.00012832,             0.00012832
                     32,                0.10367,                0.28275,                0.36381,                  4.269,             0.00010812,             0.00010812,             0.00010812
                     33,                0.10783,                0.28233,                0.36974,                 4.2697,             8.7924e-05,             8.7924e-05,             8.7924e-05
                     34,                0.10331,                0.28254,                0.36931,                 4.2688,             6.7728e-05,             6.7728e-05,             6.7728e-05
                     35,                0.08963,                0.28233,                0.37143,                 4.2685,             4.7532e-05,             4.7532e-05,             4.7532e-05
