                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.649,                0.09262,                0.23688,                 4.5161,              0.0002374,              0.0002374,              0.0002374
                      2,                 1.4144,                0.17358,                0.29022,                 4.4253,             0.00046195,             0.00046195,             0.00046195
                      3,                0.77827,                0.18919,                0.29897,                 4.3939,             0.00067304,             0.00067304,             0.00067304
                      4,                0.56478,                0.19949,                0.29571,                 4.3819,             0.00065341,             0.00065341,             0.00065341
                      5,                0.47447,                0.20103,                0.31389,                 4.3791,             0.00065341,             0.00065341,             0.00065341
                      6,                0.38038,                0.20326,                0.30034,                 4.3761,             0.00063322,             0.00063322,             0.00063322
                      7,                0.36379,                0.20274,                 0.3084,                 4.3767,             0.00061302,             0.00061302,             0.00061302
                      8,                0.31714,                0.20051,                0.29091,                  4.376,             0.00059282,             0.00059282,             0.00059282
                      9,                0.28449,                0.20652,                0.29743,                 4.3679,             0.00057263,             0.00057263,             0.00057263
                     10,                0.26224,                0.20789,                0.29777,                  4.367,             0.00055243,             0.00055243,             0.00055243
                     11,                 0.2399,                0.20549,                0.30532,                 4.3697,             0.00053224,             0.00053224,             0.00053224
                     12,                0.22826,                0.20755,                 0.2964,                 4.3664,             0.00051204,             0.00051204,             0.00051204
                     13,                0.21021,                0.20755,                0.30154,                 4.3671,             0.00049184,             0.00049184,             0.00049184
                     14,                0.22152,                0.20943,                0.29434,                 4.3631,             0.00047165,             0.00047165,             0.00047165
                     15,                0.19105,                0.20806,                 0.3036,                 4.3656,             0.00045145,             0.00045145,             0.00045145
                     16,                0.18606,                0.20926,                0.30103,                 4.3623,             0.00043126,             0.00043126,             0.00043126
                     17,                0.18484,                0.20789,                0.29039,                 4.3643,             0.00041106,             0.00041106,             0.00041106
                     18,                0.16401,                0.20961,                0.29708,                 4.3638,             0.00039086,             0.00039086,             0.00039086
                     19,                0.15857,                0.20909,                0.29074,                 4.3651,             0.00037067,             0.00037067,             0.00037067
                     20,                0.15682,                0.20892,                0.28422,                 4.3639,             0.00035047,             0.00035047,             0.00035047
                     21,                0.14961,                0.20978,                0.28422,                 4.3643,             0.00033028,             0.00033028,             0.00033028
                     22,                0.14758,                0.20858,                 0.2916,                 4.3648,             0.00031008,             0.00031008,             0.00031008
                     23,                0.13383,                0.20995,                0.29485,                 4.3642,             0.00028988,             0.00028988,             0.00028988
                     24,                0.12108,                0.20961,                0.30137,                 4.3635,             0.00026969,             0.00026969,             0.00026969
                     25,                0.11226,                0.20943,                0.29966,                 4.3639,             0.00024949,             0.00024949,             0.00024949
                     26,                 0.1069,                0.20995,                0.29674,                 4.3632,              0.0002293,              0.0002293,              0.0002293
                     27,                0.10894,                0.21012,                 0.2976,                 4.3637,              0.0002091,              0.0002091,              0.0002091
                     28,                0.10579,                0.21012,                 0.3048,                 4.3639,              0.0001889,              0.0001889,              0.0001889
                     29,                0.09807,                0.20995,                0.30172,                 4.3612,             0.00016871,             0.00016871,             0.00016871
                     30,                0.09971,                0.21063,                0.30223,                 4.3618,             0.00014851,             0.00014851,             0.00014851
                     31,                0.10002,                0.20995,                0.30686,                 4.3627,             0.00012832,             0.00012832,             0.00012832
                     32,                0.09103,                0.21046,                0.30635,                 4.3631,             0.00010812,             0.00010812,             0.00010812
                     33,                0.08707,                0.21063,                0.30172,                 4.3625,             8.7924e-05,             8.7924e-05,             8.7924e-05
                     34,                0.09799,                0.21046,                0.30257,                 4.3628,             6.7728e-05,             6.7728e-05,             6.7728e-05
                     35,                0.08648,                0.21081,                0.30034,                 4.3618,             4.7532e-05,             4.7532e-05,             4.7532e-05
