                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6887,                0.08919,                0.21235,                 4.4832,             0.00023737,             0.00023737,             0.00023737
                      2,                 1.5113,                 0.1753,                 0.2928,                 4.3907,             0.00046192,             0.00046192,             0.00046192
                      3,                0.79884,                0.18611,                0.30583,                 4.3677,             0.00067301,             0.00067301,             0.00067301
                      4,                0.59891,                 0.1988,                 0.3211,                 4.3525,             0.00065341,             0.00065341,             0.00065341
                      5,                 0.4705,                0.19914,                 0.3319,                 4.3482,             0.00065341,             0.00065341,             0.00065341
                      6,                0.41567,                0.20172,                0.31595,                 4.3451,             0.00063322,             0.00063322,             0.00063322
                      7,                0.37163,                0.20926,                0.32247,                 4.3364,             0.00061302,             0.00061302,             0.00061302
                      8,                0.31821,                0.20412,                0.33448,                  4.341,             0.00059282,             0.00059282,             0.00059282
                      9,                0.30587,                0.21132,                0.32487,                  4.333,             0.00057263,             0.00057263,             0.00057263
                     10,                 0.2659,                0.20772,                0.33225,                  4.337,             0.00055243,             0.00055243,             0.00055243
                     11,                0.26456,                0.20806,                0.32281,                 4.3365,             0.00053224,             0.00053224,             0.00053224
                     12,                 0.2315,                0.20703,                0.33602,                 4.3362,             0.00051204,             0.00051204,             0.00051204
                     13,                0.23429,                0.20772,                0.33636,                 4.3353,             0.00049184,             0.00049184,             0.00049184
                     14,                0.21505,                0.20961,                0.34477,                 4.3326,             0.00047165,             0.00047165,             0.00047165
                     15,                 0.1848,                0.20772,                0.35472,                 4.3357,             0.00045145,             0.00045145,             0.00045145
                     16,                0.20073,                0.20978,                0.32453,                 4.3305,             0.00043126,             0.00043126,             0.00043126
                     17,                0.16904,                0.20892,                0.31938,                 4.3312,             0.00041106,             0.00041106,             0.00041106
                     18,                0.17588,                0.20823,                0.33962,                 4.3336,             0.00039086,             0.00039086,             0.00039086
                     19,                0.16992,                0.20943,                0.32762,                 4.3337,             0.00037067,             0.00037067,             0.00037067
                     20,                0.15482,                0.20978,                 0.3283,                 4.3317,             0.00035047,             0.00035047,             0.00035047
                     21,                0.15196,                0.21063,                0.33585,                  4.331,             0.00033028,             0.00033028,             0.00033028
                     22,                0.13685,                0.21115,                0.34545,                 4.3306,             0.00031008,             0.00031008,             0.00031008
                     23,                0.14348,                0.21115,                0.34357,                 4.3322,             0.00028988,             0.00028988,             0.00028988
                     24,                0.12594,                0.21029,                0.34683,                 4.3316,             0.00026969,             0.00026969,             0.00026969
                     25,                0.11766,                0.21098,                 0.3319,                 4.3314,             0.00024949,             0.00024949,             0.00024949
                     26,                0.12125,                0.21029,                0.34031,                 4.3314,              0.0002293,              0.0002293,              0.0002293
                     27,                0.11517,                0.21012,                0.34889,                 4.3315,              0.0002091,              0.0002091,              0.0002091
                     28,                0.11019,                0.21115,                0.34374,                 4.3317,              0.0001889,              0.0001889,              0.0001889
                     29,                0.10482,                0.21098,                0.34322,                  4.329,             0.00016871,             0.00016871,             0.00016871
                     30,                0.10935,                0.20995,                0.34408,                 4.3305,             0.00014851,             0.00014851,             0.00014851
                     31,                0.10688,                0.20995,                0.33945,                 4.3312,             0.00012832,             0.00012832,             0.00012832
                     32,                0.09009,                0.21063,                0.34168,                 4.3315,             0.00010812,             0.00010812,             0.00010812
                     33,                 0.0947,                0.20995,                0.34031,                  4.331,             8.7924e-05,             8.7924e-05,             8.7924e-05
                     34,                0.09285,                0.21029,                0.33448,                  4.331,             6.7728e-05,             6.7728e-05,             6.7728e-05
                     35,                0.09233,                0.21029,                0.33722,                 4.3299,             4.7532e-05,             4.7532e-05,             4.7532e-05
