                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7405,                0.04339,                0.12196,                 4.5656,             0.00023743,             0.00023743,             0.00023743
                      2,                 1.5304,                 0.0415,                0.10666,                 4.5622,             0.00046198,             0.00046198,             0.00046198
                      3,                0.79372,                0.04481,                0.09293,                 4.5571,             0.00067307,             0.00067307,             0.00067307
                      4,                0.61537,                0.04686,                0.10398,                 4.5534,             0.00065341,             0.00065341,             0.00065341
                      5,                0.48292,                 0.0456,                0.10035,                 4.5579,             0.00065341,             0.00065341,             0.00065341
                      6,                0.41769,                0.04528,                 0.0994,                 4.5552,             0.00063322,             0.00063322,             0.00063322
                      7,                 0.3738,                0.04591,                0.11155,                  4.557,             0.00061302,             0.00061302,             0.00061302
                      8,                0.32901,                0.04607,                0.10808,                 4.5564,             0.00059282,             0.00059282,             0.00059282
                      9,                0.30568,                0.04639,                0.09167,                  4.556,             0.00057263,             0.00057263,             0.00057263
                     10,                0.28214,                0.04544,                0.10271,                 4.5571,             0.00055243,             0.00055243,             0.00055243
                     11,                0.26931,                0.04639,                0.10319,                 4.5561,             0.00053224,             0.00053224,             0.00053224
                     12,                0.23204,                0.04639,                0.10208,                 4.5558,             0.00051204,             0.00051204,             0.00051204
                     13,                 0.2518,                 0.0467,                0.10634,                  4.556,             0.00049184,             0.00049184,             0.00049184
                     14,                0.21105,                0.04639,                0.10445,                 4.5563,             0.00047165,             0.00047165,             0.00047165
                     15,                0.19585,                0.04718,                0.10571,                 4.5529,             0.00045145,             0.00045145,             0.00045145
                     16,                0.20497,                0.04654,                0.10287,                 4.5559,             0.00043126,             0.00043126,             0.00043126
                     17,                0.17913,                0.04639,                0.10082,                 4.5558,             0.00041106,             0.00041106,             0.00041106
                     18,                0.17253,                0.04654,                0.10208,                 4.5559,             0.00039086,             0.00039086,             0.00039086
                     19,                 0.1634,                0.04639,                0.09798,                 4.5563,             0.00037067,             0.00037067,             0.00037067
                     20,                0.14822,                0.04654,                0.09419,                 4.5561,             0.00035047,             0.00035047,             0.00035047
                     21,                0.14122,                0.04654,                0.09893,                 4.5563,             0.00033028,             0.00033028,             0.00033028
                     22,                0.15346,                0.04654,                0.10256,                  4.556,             0.00031008,             0.00031008,             0.00031008
                     23,                0.12766,                0.04639,                0.09719,                  4.556,             0.00028988,             0.00028988,             0.00028988
                     24,                0.12717,                0.04654,                0.10192,                 4.5562,             0.00026969,             0.00026969,             0.00026969
                     25,                0.12741,                0.04607,                0.10476,                 4.5563,             0.00024949,             0.00024949,             0.00024949
                     26,                0.11315,                0.04654,                0.10587,                  4.554,              0.0002293,              0.0002293,              0.0002293
                     27,                0.12081,                0.04639,                0.10697,                 4.5564,              0.0002091,              0.0002091,              0.0002091
                     28,                0.10164,                0.04654,                0.10366,                 4.5562,              0.0001889,              0.0001889,              0.0001889
                     29,                0.11313,                0.04623,                0.10508,                 4.5565,             0.00016871,             0.00016871,             0.00016871
                     30,                0.10477,                0.04623,                0.10666,                 4.5562,             0.00014851,             0.00014851,             0.00014851
                     31,                0.09519,                0.04639,                0.10618,                  4.554,             0.00012832,             0.00012832,             0.00012832
                     32,                0.09161,                0.04639,                0.10729,                 4.5563,             0.00010812,             0.00010812,             0.00010812
                     33,                0.10182,                0.04639,                0.10902,                 4.5563,             8.7924e-05,             8.7924e-05,             8.7924e-05
                     34,                0.09786,                0.04654,                0.10745,                 4.5561,             6.7728e-05,             6.7728e-05,             6.7728e-05
                     35,                0.08482,                0.04654,                0.10824,                 4.5561,             4.7532e-05,             4.7532e-05,             4.7532e-05
