                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7034,                0.08353,                0.21612,                 4.5089,             0.00023738,             0.00023738,             0.00023738
                      2,                 1.5134,                0.16981,                0.29211,                 4.4176,             0.00046193,             0.00046193,             0.00046193
                      3,                 0.7942,                0.18885,                0.29863,                 4.3879,             0.00067302,             0.00067302,             0.00067302
                      4,                 0.5718,                0.19348,                0.29571,                 4.3783,             0.00065341,             0.00065341,             0.00065341
                      5,                0.46564,                 0.2012,                0.29485,                 4.3686,             0.00065341,             0.00065341,             0.00065341
                      6,                0.41635,                0.20617,                0.29297,                 4.3644,             0.00063322,             0.00063322,             0.00063322
                      7,                 0.3608,                0.20515,                0.27753,                 4.3634,             0.00061302,             0.00061302,             0.00061302
                      8,                0.32043,                0.20137,                0.31046,                 4.3652,             0.00059282,             0.00059282,             0.00059282
                      9,                0.31337,                  0.206,                0.29314,                 4.3589,             0.00057263,             0.00057263,             0.00057263
                     10,                0.28506,                0.20566,                0.30617,                 4.3598,             0.00055243,             0.00055243,             0.00055243
                     11,                0.24277,                 0.2072,                0.28645,                 4.3592,             0.00053224,             0.00053224,             0.00053224
                     12,                0.24317,                0.20789,                0.28473,                 4.3559,             0.00051204,             0.00051204,             0.00051204
                     13,                0.21619,                0.20823,                0.28816,                 4.3558,             0.00049184,             0.00049184,             0.00049184
                     14,                0.20295,                0.20755,                0.30223,                 4.3552,             0.00047165,             0.00047165,             0.00047165
                     15,                0.18421,                0.20772,                0.31647,                 4.3564,             0.00045145,             0.00045145,             0.00045145
                     16,                0.16693,                0.20892,                0.30995,                 4.3544,             0.00043126,             0.00043126,             0.00043126
                     17,                 0.1754,                0.20789,                0.30961,                 4.3537,             0.00041106,             0.00041106,             0.00041106
                     18,                0.17392,                0.20806,                0.31835,                 4.3558,             0.00039086,             0.00039086,             0.00039086
                     19,                0.17951,                0.20943,                 0.3048,                 4.3556,             0.00037067,             0.00037067,             0.00037067
                     20,                0.15239,                0.20909,                0.29863,                 4.3534,             0.00035047,             0.00035047,             0.00035047
                     21,                0.16263,                0.20892,                0.30926,                 4.3543,             0.00033028,             0.00033028,             0.00033028
                     22,                0.13039,                0.20909,                0.30978,                 4.3543,             0.00031008,             0.00031008,             0.00031008
                     23,                0.12871,                0.20978,                0.31441,                 4.3541,             0.00028988,             0.00028988,             0.00028988
                     24,                0.13317,                0.20943,                0.32401,                 4.3536,             0.00026969,             0.00026969,             0.00026969
                     25,                0.12663,                0.20978,                0.32453,                 4.3533,             0.00024949,             0.00024949,             0.00024949
                     26,                0.11762,                0.21012,                0.31029,                 4.3526,              0.0002293,              0.0002293,              0.0002293
                     27,                0.12155,                0.20978,                0.30772,                  4.354,              0.0002091,              0.0002091,              0.0002091
                     28,                0.10619,                0.21012,                0.31321,                 4.3536,              0.0001889,              0.0001889,              0.0001889
                     29,                0.10484,                0.21012,                0.31081,                 4.3514,             0.00016871,             0.00016871,             0.00016871
                     30,                0.09031,                0.20995,                0.31732,                 4.3525,             0.00014851,             0.00014851,             0.00014851
                     31,                0.10004,                0.21012,                0.30909,                 4.3525,             0.00012832,             0.00012832,             0.00012832
                     32,                0.09216,                0.21029,                0.30446,                 4.3529,             0.00010812,             0.00010812,             0.00010812
                     33,                0.10906,                0.21012,                0.31132,                 4.3522,             8.7924e-05,             8.7924e-05,             8.7924e-05
                     34,                0.10049,                0.21029,                0.31184,                  4.352,             6.7728e-05,             6.7728e-05,             6.7728e-05
                     35,                0.08988,                0.21046,                0.31115,                 4.3513,             4.7532e-05,             4.7532e-05,             4.7532e-05
