                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6735,                0.09949,                0.20755,                 4.5036,             0.00023738,             0.00023738,             0.00023738
                      2,                 1.5118,                0.16518,                0.29074,                 4.4229,             0.00046193,             0.00046193,             0.00046193
                      3,                0.78216,                0.18765,                0.31904,                 4.3924,             0.00067302,             0.00067302,             0.00067302
                      4,                0.58349,                0.19297,                0.29605,                 4.3777,             0.00065341,             0.00065341,             0.00065341
                      5,                0.47917,                0.20017,                0.28679,                 4.3666,             0.00065341,             0.00065341,             0.00065341
                      6,                0.43433,                0.20309,                0.30858,                 4.3671,             0.00063322,             0.00063322,             0.00063322
                      7,                0.37305,                0.20326,                0.30446,                 4.3628,             0.00061302,             0.00061302,             0.00061302
                      8,                0.33126,                0.20497,                0.30858,                 4.3624,             0.00059282,             0.00059282,             0.00059282
                      9,                0.32058,                  0.206,                0.30532,                  4.359,             0.00057263,             0.00057263,             0.00057263
                     10,                 0.2703,                  0.206,                0.31389,                 4.3608,             0.00055243,             0.00055243,             0.00055243
                     11,                0.23248,                0.20515,                  0.294,                  4.361,             0.00053224,             0.00053224,             0.00053224
                     12,                0.23996,                 0.2084,                0.30875,                 4.3571,             0.00051204,             0.00051204,             0.00051204
                     13,                 0.2197,                0.20806,                0.32298,                 4.3559,             0.00049184,             0.00049184,             0.00049184
                     14,                0.18842,                0.20875,                0.31715,                 4.3541,             0.00047165,             0.00047165,             0.00047165
                     15,                 0.2118,                0.20755,                0.32316,                 4.3576,             0.00045145,             0.00045145,             0.00045145
                     16,                0.17852,                0.20755,                0.34031,                 4.3541,             0.00043126,             0.00043126,             0.00043126
                     17,                0.17661,                0.20909,                0.32401,                 4.3534,             0.00041106,             0.00041106,             0.00041106
                     18,                0.18591,                0.20892,                0.31904,                  4.355,             0.00039086,             0.00039086,             0.00039086
                     19,                0.17242,                0.20926,                0.32264,                 4.3547,             0.00037067,             0.00037067,             0.00037067
                     20,                0.15297,                0.20926,                0.32419,                 4.3527,             0.00035047,             0.00035047,             0.00035047
                     21,                0.15136,                0.20823,                0.31647,                 4.3548,             0.00033028,             0.00033028,             0.00033028
                     22,                0.16066,                0.20961,                 0.3211,                  4.354,             0.00031008,             0.00031008,             0.00031008
                     23,                 0.1442,                0.20978,                0.31784,                  4.354,             0.00028988,             0.00028988,             0.00028988
                     24,                0.12345,                0.20926,                0.30617,                 4.3533,             0.00026969,             0.00026969,             0.00026969
                     25,                0.12375,                0.20943,                0.30961,                 4.3534,             0.00024949,             0.00024949,             0.00024949
                     26,                0.12255,                0.21012,                0.30635,                 4.3531,              0.0002293,              0.0002293,              0.0002293
                     27,                0.12217,                0.20961,                0.31509,                 4.3541,              0.0002091,              0.0002091,              0.0002091
                     28,                0.10192,                0.21012,                0.31407,                 4.3534,              0.0001889,              0.0001889,              0.0001889
                     29,                0.10572,                0.20978,                0.31218,                 4.3516,             0.00016871,             0.00016871,             0.00016871
                     30,                0.09852,                0.20978,                 0.3223,                 4.3524,             0.00014851,             0.00014851,             0.00014851
                     31,                0.10571,                0.20909,                0.31561,                 4.3534,             0.00012832,             0.00012832,             0.00012832
                     32,                0.10569,                0.20943,                0.31904,                  4.354,             0.00010812,             0.00010812,             0.00010812
                     33,                0.10084,                0.21012,                0.32178,                  4.353,             8.7924e-05,             8.7924e-05,             8.7924e-05
                     34,                0.09875,                0.20978,                0.31732,                 4.3531,             6.7728e-05,             6.7728e-05,             6.7728e-05
                     35,                0.09782,                0.20978,                0.31904,                 4.3523,             4.7532e-05,             4.7532e-05,             4.7532e-05
