                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0326,                 1.3746,                 1.1364,                0.17023,                0.41071,                0.13381,                0.05799,                 1.8507,                 6.2665,                 1.8734,                0.06775,             0.00032576,             0.00032576
                      2,                0.95556,                 1.0103,                 1.0367,                0.82172,                 0.8231,                0.88329,                0.51505,                 1.5643,                 2.6589,                 2.0773,               0.034728,             0.00063734,             0.00063734
                      3,                0.99168,                0.93351,                  1.071,                0.74064,                0.91071,                0.95347,                0.62295,                 1.2476,                 2.8486,                 1.6423,              0.0016845,             0.00092692,             0.00092692
                      4,                 0.9717,                 0.9146,                  1.092,                0.69503,                0.77331,                0.82805,                0.47558,                 1.3229,                 4.7755,                 1.5853,               0.000901,               0.000901,               0.000901
                      5,                0.96399,                0.89241,                 1.0726,                0.46937,                  0.875,                0.57427,                0.28331,                 1.5186,                 1.7441,                 1.8232,               0.000901,               0.000901,               0.000901
                      6,                0.89761,                0.82995,                 1.0452,                0.83486,                0.80357,                 0.9005,                0.45899,                  1.425,                 1.5998,                 1.7471,               0.000868,               0.000868,               0.000868
                      7,                0.81791,                0.71921,                 1.0088,                0.84593,                0.88247,                0.91618,                 0.6173,                 1.0774,                 2.2318,                 1.4529,               0.000835,               0.000835,               0.000835
                      8,                0.81878,                0.72171,                 1.0139,                0.80412,                  0.875,                0.90953,                0.62022,                  1.181,                 1.3637,                 1.6873,               0.000802,               0.000802,               0.000802
                      9,                0.79994,                0.68624,                 1.0103,                0.65403,                  0.875,                0.78933,                0.41165,                 1.2743,                 1.8441,                 1.5447,               0.000769,               0.000769,               0.000769
                     10,                0.80632,                0.68964,                 1.0282,                0.81048,                0.82143,                0.90931,                0.61468,                 1.0923,                 1.3603,                 1.5169,               0.000736,               0.000736,               0.000736
                     11,                0.76129,                0.66277,                 1.0009,                0.84746,                0.85714,                0.94197,                0.66817,                 1.0756,                 1.1536,                 1.5166,               0.000703,               0.000703,               0.000703
                     12,                0.80067,                0.67015,                 1.0052,                0.96182,                0.89968,                 0.9691,                0.60688,                  1.053,                 1.2193,                 1.4733,                0.00067,                0.00067,                0.00067
                     13,                 0.7649,                0.62172,                0.99685,                0.81742,                0.96429,                0.95703,                0.70216,                  0.984,                 1.1235,                 1.3624,               0.000637,               0.000637,               0.000637
                     14,                0.74186,                0.60726,                0.98219,                0.95357,                0.78571,                0.93783,                0.69143,                  1.012,                 1.2364,                 1.3447,               0.000604,               0.000604,               0.000604
                     15,                0.75073,                0.57411,                0.97382,                0.89214,                0.91071,                0.94332,                0.71879,                0.87308,                 1.0525,                 1.2772,               0.000571,               0.000571,               0.000571
                     16,                0.70559,                0.56649,                0.96768,                0.97912,                0.89286,                0.95483,                0.71977,                0.98189,                0.82526,                 1.5168,               0.000538,               0.000538,               0.000538
                     17,                0.70918,                0.55458,                0.95967,                0.94865,                0.89286,                0.97032,                0.76829,                0.80347,                0.81739,                 1.2381,               0.000505,               0.000505,               0.000505
                     18,                0.69966,                0.54843,                0.96588,                0.94516,                0.94643,                0.97884,                0.78463,                0.81668,                 0.7239,                 1.2287,               0.000472,               0.000472,               0.000472
                     19,                 0.6783,                0.52311,                 0.9548,                0.96115,                0.92857,                0.98107,                0.78542,                0.82447,                  0.695,                  1.241,               0.000439,               0.000439,               0.000439
                     20,                0.67736,                0.51707,                0.94122,                0.97454,                0.91071,                0.96596,                0.78041,                0.79548,                0.84848,                 1.2187,               0.000406,               0.000406,               0.000406
                     21,                0.62563,                0.52695,                0.95605,                0.95961,                0.92857,                0.95714,                0.78252,                0.76605,                0.79837,                 1.2225,               0.000373,               0.000373,               0.000373
                     22,                0.63208,                0.51669,                 0.9478,                0.97636,                0.92857,                0.95515,                0.76348,                0.79314,                0.85587,                 1.2618,                0.00034,                0.00034,                0.00034
                     23,                0.62026,                0.49511,                0.95877,                0.97934,                0.92857,                0.95276,                0.78026,                0.78699,                0.74778,                 1.2616,               0.000307,               0.000307,               0.000307
                     24,                0.60614,                0.46893,                 0.9193,                0.98108,                0.92611,                0.93925,                0.74436,                0.83667,                0.71373,                 1.2925,               0.000274,               0.000274,               0.000274
                     25,                0.61155,                0.49774,                0.94379,                0.96294,                0.92793,                0.93965,                0.77408,                 0.7948,                0.70452,                 1.2648,               0.000241,               0.000241,               0.000241
                     26,                0.61658,                0.46173,                0.93589,                0.96228,                0.92857,                0.95073,                0.77155,                0.77993,                0.68656,                 1.2418,               0.000208,               0.000208,               0.000208
                     27,                 0.6147,                0.45712,                 0.9165,                0.96013,                0.92857,                0.96198,                0.77843,                0.76783,                0.66726,                 1.2109,               0.000175,               0.000175,               0.000175
                     28,                0.59781,                0.43301,                0.92745,                0.97753,                0.92857,                0.97217,                0.79809,                0.72645,                0.65431,                 1.1843,               0.000142,               0.000142,               0.000142
                     29,                0.58303,                0.45175,                0.93774,                0.97822,                0.92857,                0.97522,                0.81292,                0.69358,                0.60368,                 1.1623,               0.000109,               0.000109,               0.000109
                     30,                0.56759,                0.43311,                0.92681,                0.99853,                0.92857,                0.97372,                0.82632,                0.67448,                0.59732,                 1.1546,                7.6e-05,                7.6e-05,                7.6e-05
