                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6626,                0.61515,                 0.8399,                 4.2191,             0.00023736,             0.00023736,             0.00023736
                      2,                 1.5112,                 0.8771,                0.97828,                 3.8304,             0.00046191,             0.00046191,             0.00046191
                      3,                0.82345,                0.94832,                0.99478,                 3.6922,               0.000673,               0.000673,               0.000673
                      4,                 0.5737,                0.95808,                 0.9963,                  3.659,             0.00065341,             0.00065341,             0.00065341
                      5,                0.47583,                0.96246,                0.99815,                 3.6439,             0.00065341,             0.00065341,             0.00065341
                      6,                 0.4377,                0.97222,                0.99899,                 3.6269,             0.00063322,             0.00063322,             0.00063322
                      7,                 0.3825,                0.97997,                0.99933,                 3.6165,             0.00061302,             0.00061302,             0.00061302
                      8,                0.31031,                0.97559,                0.99966,                 3.6145,             0.00059282,             0.00059282,             0.00059282
                      9,                0.30229,                0.98114,                0.99966,                 3.6096,             0.00057263,             0.00057263,             0.00057263
                     10,                0.27201,                0.98737,                0.99983,                 3.6024,             0.00055243,             0.00055243,             0.00055243
                     11,                0.24615,                0.98502,                0.99966,                 3.6037,             0.00053224,             0.00053224,             0.00053224
                     12,                0.24104,                0.98519,                0.99983,                 3.6012,             0.00051204,             0.00051204,             0.00051204
                     13,                0.23781,                0.98822,                0.99983,                 3.5963,             0.00049184,             0.00049184,             0.00049184
                     14,                0.22375,                0.98923,                0.99983,                 3.5936,             0.00047165,             0.00047165,             0.00047165
                     15,                0.21527,                0.99125,                0.99983,                 3.5902,             0.00045145,             0.00045145,             0.00045145
                     16,                0.19396,                 0.9931,                0.99949,                 3.5908,             0.00043126,             0.00043126,             0.00043126
                     17,                0.18357,                 0.9931,                0.99966,                 3.5875,             0.00041106,             0.00041106,             0.00041106
                     18,                0.17205,                0.99007,                0.99966,                 3.5916,             0.00039086,             0.00039086,             0.00039086
                     19,                 0.1771,                0.99343,                0.99983,                 3.5857,             0.00037067,             0.00037067,             0.00037067
                     20,                0.15158,                0.99478,                0.99983,                  3.584,             0.00035047,             0.00035047,             0.00035047
                     21,                0.14076,                0.99276,                0.99983,                 3.5847,             0.00033028,             0.00033028,             0.00033028
                     22,                0.14218,                0.99495,                0.99983,                  3.583,             0.00031008,             0.00031008,             0.00031008
                     23,                0.14383,                0.99495,                0.99983,                 3.5826,             0.00028988,             0.00028988,             0.00028988
                     24,                0.12819,                0.99579,                0.99983,                  3.582,             0.00026969,             0.00026969,             0.00026969
                     25,                0.12796,                 0.9936,                0.99983,                  3.584,             0.00024949,             0.00024949,             0.00024949
                     26,                0.12453,                0.99394,                0.99983,                  3.585,              0.0002293,              0.0002293,              0.0002293
                     27,                0.11704,                0.99495,                0.99983,                 3.5811,              0.0002091,              0.0002091,              0.0002091
                     28,                 0.1056,                0.99461,                0.99983,                 3.5817,              0.0001889,              0.0001889,              0.0001889
                     29,                 0.1052,                0.99613,                0.99983,                 3.5803,             0.00016871,             0.00016871,             0.00016871
                     30,                0.11189,                0.99579,                0.99983,                 3.5802,             0.00014851,             0.00014851,             0.00014851
                     31,                0.10432,                0.99562,                0.99983,                 3.5803,             0.00012832,             0.00012832,             0.00012832
                     32,                0.10329,                0.99663,                0.99983,                 3.5792,             0.00010812,             0.00010812,             0.00010812
                     33,                0.10739,                0.99646,                0.99983,                  3.579,             8.7924e-05,             8.7924e-05,             8.7924e-05
                     34,                0.09334,                 0.9963,                0.99983,                 3.5791,             6.7728e-05,             6.7728e-05,             6.7728e-05
                     35,                0.09281,                0.99613,                0.99983,                 3.5785,             4.7532e-05,             4.7532e-05,             4.7532e-05
