                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6511,                0.59672,                0.82502,                 4.1884,              0.0002374,              0.0002374,              0.0002374
                      2,                 1.4616,                0.88908,                0.98107,                 3.7973,             0.00046195,             0.00046195,             0.00046195
                      3,                0.77244,                0.93436,                0.99322,                 3.7035,             0.00067304,             0.00067304,             0.00067304
                      4,                0.58635,                0.95677,                0.99763,                 3.6568,             0.00065341,             0.00065341,             0.00065341
                      5,                0.46845,                0.96119,                0.99842,                 3.6418,             0.00065341,             0.00065341,             0.00065341
                      6,                0.40894,                 0.9686,                0.99921,                 3.6279,             0.00063322,             0.00063322,             0.00063322
                      7,                0.37032,                0.97365,                0.99874,                 3.6202,             0.00061302,             0.00061302,             0.00061302
                      8,                0.31662,                0.98264,                0.99968,                 3.6095,             0.00059282,             0.00059282,             0.00059282
                      9,                0.27337,                 0.9828,                0.99953,                 3.6083,             0.00057263,             0.00057263,             0.00057263
                     10,                 0.2606,                0.98896,                0.99953,                 3.5953,             0.00055243,             0.00055243,             0.00055243
                     11,                0.25251,                0.98959,                0.99968,                 3.5972,             0.00053224,             0.00053224,             0.00053224
                     12,                 0.2359,                0.98817,                0.99937,                 3.5974,             0.00051204,             0.00051204,             0.00051204
                     13,                0.23682,                 0.9869,                0.99953,                 3.5981,             0.00049184,             0.00049184,             0.00049184
                     14,                0.20044,                0.98911,                0.99937,                 3.5919,             0.00047165,             0.00047165,             0.00047165
                     15,                0.20191,                0.99006,                0.99921,                 3.5925,             0.00045145,             0.00045145,             0.00045145
                     16,                0.17551,                0.99164,                0.99953,                 3.5899,             0.00043126,             0.00043126,             0.00043126
                     17,                0.19453,                 0.9918,                0.99953,                 3.5887,             0.00041106,             0.00041106,             0.00041106
                     18,                0.17438,                0.99369,                0.99984,                 3.5865,             0.00039086,             0.00039086,             0.00039086
                     19,                0.14642,                 0.9929,                0.99953,                  3.587,             0.00037067,             0.00037067,             0.00037067
                     20,                0.15379,                0.99227,                0.99953,                 3.5864,             0.00035047,             0.00035047,             0.00035047
                     21,                0.14486,                0.99684,                0.99968,                 3.5815,             0.00033028,             0.00033028,             0.00033028
                     22,                0.14076,                0.99495,                0.99968,                 3.5827,             0.00031008,             0.00031008,             0.00031008
                     23,                0.13194,                0.99353,                0.99968,                 3.5834,             0.00028988,             0.00028988,             0.00028988
                     24,                0.12582,                0.99448,                0.99968,                  3.583,             0.00026969,             0.00026969,             0.00026969
                     25,                0.12185,                0.99527,                0.99968,                 3.5821,             0.00024949,             0.00024949,             0.00024949
                     26,                0.11904,                0.99511,                0.99968,                 3.5815,              0.0002293,              0.0002293,              0.0002293
                     27,                0.10444,                 0.9959,                0.99968,                 3.5809,              0.0002091,              0.0002091,              0.0002091
                     28,                0.11214,                0.99511,                0.99953,                  3.581,              0.0001889,              0.0001889,              0.0001889
                     29,                 0.1182,                0.99621,                0.99968,                 3.5791,             0.00016871,             0.00016871,             0.00016871
                     30,                0.10658,                0.99669,                0.99968,                 3.5794,             0.00014851,             0.00014851,             0.00014851
                     31,                0.09986,                  0.997,                0.99968,                 3.5797,             0.00012832,             0.00012832,             0.00012832
                     32,                0.10728,                0.99763,                0.99968,                 3.5788,             0.00010812,             0.00010812,             0.00010812
                     33,                0.09341,                0.99763,                0.99968,                 3.5786,             8.7924e-05,             8.7924e-05,             8.7924e-05
                     34,                0.09134,                0.99779,                0.99968,                  3.578,             6.7728e-05,             6.7728e-05,             6.7728e-05
                     35,                0.10061,                0.99811,                0.99968,                 3.5779,             4.7532e-05,             4.7532e-05,             4.7532e-05
