                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7015,                0.09537,                0.21063,                 4.4967,             0.00023737,             0.00023737,             0.00023737
                      2,                  1.524,                0.17118,                0.29434,                 4.4056,             0.00046193,             0.00046193,             0.00046193
                      3,                0.80573,                0.18731,                0.31166,                 4.3804,             0.00067302,             0.00067302,             0.00067302
                      4,                0.59956,                0.19588,                0.29794,                 4.3662,             0.00065341,             0.00065341,             0.00065341
                      5,                0.48628,                0.20034,                0.30069,                 4.3592,             0.00065341,             0.00065341,             0.00065341
                      6,                0.42398,                0.19811,                0.31098,                 4.3587,             0.00063322,             0.00063322,             0.00063322
                      7,                0.36093,                0.20463,                 0.3271,                 4.3514,             0.00061302,             0.00061302,             0.00061302
                      8,                0.33197,                0.20463,                 0.3271,                 4.3527,             0.00059282,             0.00059282,             0.00059282
                      9,                0.29939,                0.20497,                0.31561,                  4.349,             0.00057263,             0.00057263,             0.00057263
                     10,                 0.2856,                0.20463,                0.31458,                 4.3511,             0.00055243,             0.00055243,             0.00055243
                     11,                0.24551,                0.20652,                0.30978,                 4.3501,             0.00053224,             0.00053224,             0.00053224
                     12,                0.25318,                0.20875,                0.30497,                 4.3465,             0.00051204,             0.00051204,             0.00051204
                     13,                0.22867,                 0.2084,                0.31252,                 4.3455,             0.00049184,             0.00049184,             0.00049184
                     14,                0.23248,                0.20943,                0.31612,                 4.3443,             0.00047165,             0.00047165,             0.00047165
                     15,                0.20334,                0.20892,                0.30069,                 4.3451,             0.00045145,             0.00045145,             0.00045145
                     16,                0.18253,                0.20961,                0.31784,                 4.3422,             0.00043126,             0.00043126,             0.00043126
                     17,                0.18125,                0.20943,                0.31201,                 4.3426,             0.00041106,             0.00041106,             0.00041106
                     18,                 0.1599,                0.20909,                0.31166,                 4.3443,             0.00039086,             0.00039086,             0.00039086
                     19,                0.16748,                0.20961,                0.30961,                 4.3443,             0.00037067,             0.00037067,             0.00037067
                     20,                  0.148,                0.20892,                0.31664,                 4.3435,             0.00035047,             0.00035047,             0.00035047
                     21,                0.14617,                0.20926,                 0.3199,                 4.3434,             0.00033028,             0.00033028,             0.00033028
                     22,                0.12622,                0.21012,                0.29503,                 4.3425,             0.00031008,             0.00031008,             0.00031008
                     23,                0.13358,                0.20892,                0.30463,                  4.344,             0.00028988,             0.00028988,             0.00028988
                     24,                0.13588,                0.20943,                0.30738,                 4.3429,             0.00026969,             0.00026969,             0.00026969
                     25,                0.10818,                0.20961,                0.30926,                 4.3425,             0.00024949,             0.00024949,             0.00024949
                     26,                 0.1154,                0.20995,                0.29931,                  4.342,              0.0002293,              0.0002293,              0.0002293
                     27,                0.10653,                0.21012,                0.30515,                 4.3429,              0.0002091,              0.0002091,              0.0002091
                     28,                0.11961,                0.21029,                0.30172,                 4.3427,              0.0001889,              0.0001889,              0.0001889
                     29,                0.10564,                0.21029,                0.31149,                 4.3405,             0.00016871,             0.00016871,             0.00016871
                     30,                0.10662,                0.20978,                0.31801,                 4.3416,             0.00014851,             0.00014851,             0.00014851
                     31,                0.10221,                0.20995,                0.32007,                  4.342,             0.00012832,             0.00012832,             0.00012832
                     32,                0.09596,                0.20995,                0.32281,                 4.3429,             0.00010812,             0.00010812,             0.00010812
                     33,                0.09853,                0.21012,                0.32144,                 4.3421,             8.7924e-05,             8.7924e-05,             8.7924e-05
                     34,                 0.0895,                0.20995,                0.32007,                 4.3422,             6.7728e-05,             6.7728e-05,             6.7728e-05
                     35,                0.09834,                0.20995,                0.31904,                 4.3413,             4.7532e-05,             4.7532e-05,             4.7532e-05
