                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7445,                 0.0872,                 0.2161,                 4.5921,             0.00023737,             0.00023737,             0.00023737
                      2,                 1.5294,                0.15225,                0.26382,                  4.512,             0.00046193,             0.00046193,             0.00046193
                      3,                0.82946,                0.16392,                0.25781,                 4.4913,             0.00067302,             0.00067302,             0.00067302
                      4,                 0.6126,                0.16684,                0.26828,                 4.4828,             0.00065341,             0.00065341,             0.00065341
                      5,                0.51657,                0.16735,                0.25421,                 4.4813,             0.00065341,             0.00065341,             0.00065341
                      6,                0.45455,                0.17164,                0.26982,                 4.4774,             0.00063322,             0.00063322,             0.00063322
                      7,                0.38445,                0.17216,                0.27789,                 4.4735,             0.00061302,             0.00061302,             0.00061302
                      8,                0.34315,                0.17388,                0.26502,                 4.4727,             0.00059282,             0.00059282,             0.00059282
                      9,                0.34804,                0.17405,                0.27326,                 4.4686,             0.00057263,             0.00057263,             0.00057263
                     10,                0.29406,                0.17285,                0.27961,                 4.4713,             0.00055243,             0.00055243,             0.00055243
                     11,                0.27424,                 0.1737,                0.25712,                 4.4705,             0.00053224,             0.00053224,             0.00053224
                     12,                0.25233,                0.17525,                0.25112,                 4.4696,             0.00051204,             0.00051204,             0.00051204
                     13,                0.23162,                0.17594,                0.26159,                 4.4688,             0.00049184,             0.00049184,             0.00049184
                     14,                0.22549,                0.17525,                0.24751,                 4.4693,             0.00047165,             0.00047165,             0.00047165
                     15,                0.20806,                0.17576,                0.24957,                 4.4656,             0.00045145,             0.00045145,             0.00045145
                     16,                0.20884,                0.17456,                0.26159,                 4.4692,             0.00043126,             0.00043126,             0.00043126
                     17,                 0.1783,                0.17611,                0.25266,                  4.466,             0.00041106,             0.00041106,             0.00041106
                     18,                 0.1673,                0.17576,                0.25918,                 4.4655,             0.00039086,             0.00039086,             0.00039086
                     19,                0.17913,                0.17628,                0.25455,                 4.4655,             0.00037067,             0.00037067,             0.00037067
                     20,                0.16177,                0.17697,                0.25489,                  4.467,             0.00035047,             0.00035047,             0.00035047
                     21,                0.16435,                0.17662,                0.25163,                 4.4624,             0.00033028,             0.00033028,             0.00033028
                     22,                0.14814,                0.17628,                0.24373,                 4.4649,             0.00031008,             0.00031008,             0.00031008
                     23,                0.15233,                0.17576,                0.25524,                 4.4675,             0.00028988,             0.00028988,             0.00028988
                     24,                0.15099,                0.17559,                0.25386,                 4.4652,             0.00026969,             0.00026969,             0.00026969
                     25,                0.12685,                0.17628,                0.26485,                 4.4648,             0.00024949,             0.00024949,             0.00024949
                     26,                0.12578,                0.17594,                0.24665,                 4.4648,              0.0002293,              0.0002293,              0.0002293
                     27,                0.11734,                0.17628,                0.25009,                 4.4647,              0.0002091,              0.0002091,              0.0002091
                     28,                0.11337,                0.17662,                0.24494,                  4.467,              0.0001889,              0.0001889,              0.0001889
                     29,                0.11465,                0.17645,                0.24768,                 4.4669,             0.00016871,             0.00016871,             0.00016871
                     30,                  0.119,                0.17645,                0.25197,                 4.4668,             0.00014851,             0.00014851,             0.00014851
                     31,                 0.0947,                0.17679,                0.25163,                 4.4667,             0.00012832,             0.00012832,             0.00012832
                     32,                0.10809,                0.17662,                 0.2506,                 4.4667,             0.00010812,             0.00010812,             0.00010812
                     33,                0.10566,                0.17697,                0.25369,                 4.4668,             8.7924e-05,             8.7924e-05,             8.7924e-05
                     34,                0.10215,                0.17662,                0.25661,                 4.4668,             6.7728e-05,             6.7728e-05,             6.7728e-05
                     35,                0.10272,                0.17679,                0.25781,                 4.4666,             4.7532e-05,             4.7532e-05,             4.7532e-05
