epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,222.542,4.3456,0.00962,0.11739,4.63297,3.19242e-05,3.19242e-05,3.19242e-05
2,461.217,3.25917,0.03597,0.1076,5.66463,6.18147e-05,6.18147e-05,6.18147e-05
3,703.547,2.04834,0.04292,0.11754,6.66806,8.95932e-05,8.95932e-05,8.95932e-05
4,946.676,1.17682,0.04402,0.10603,7.50734,8.6496e-05,8.6496e-05,8.6496e-05
5,1191.86,0.74352,0.04339,0.10003,8.3418,8.3328e-05,8.3328e-05,8.3328e-05
6,1439.65,0.54793,0.0437,0.10145,8.93351,8.016e-05,8.016e-05,8.016e-05
7,1685.6,0.42709,0.04576,0.10208,9.27462,7.6992e-05,7.6992e-05,7.6992e-05
8,1917.77,0.35241,0.04576,0.10981,9.51704,7.3824e-05,7.3824e-05,7.3824e-05
9,2160.39,0.30029,0.04607,0.10603,9.87261,7.0656e-05,7.0656e-05,7.0656e-05
10,2408.35,0.27003,0.0456,0.10555,10.2219,6.7488e-05,6.7488e-05,6.7488e-05
11,2658.81,0.25039,0.04623,0.10192,10.5066,6.432e-05,6.432e-05,6.432e-05
12,3008.12,0.21062,0.04623,0.10413,10.7475,6.1152e-05,6.1152e-05,6.1152e-05
13,3240.83,0.2069,0.04607,0.10492,10.7822,5.7984e-05,5.7984e-05,5.7984e-05
14,3492.15,0.18546,0.04591,0.10319,10.8806,5.4816e-05,5.4816e-05,5.4816e-05
15,3721.41,0.18641,0.04591,0.10161,11.1642,5.1648e-05,5.1648e-05,5.1648e-05
16,3943.97,0.16511,0.04591,0.1035,11.1194,4.848e-05,4.848e-05,4.848e-05
17,4162.76,0.16283,0.04607,0.10461,11.3134,4.5312e-05,4.5312e-05,4.5312e-05
18,4384.6,0.14829,0.04607,0.09877,11.5582,4.2144e-05,4.2144e-05,4.2144e-05
19,4605.3,0.14574,0.04639,0.10476,11.5307,3.8976e-05,3.8976e-05,3.8976e-05
20,4824.95,0.13944,0.04639,0.1024,11.6665,3.5808e-05,3.5808e-05,3.5808e-05
21,5043.61,0.13016,0.04607,0.10508,11.7888,3.264e-05,3.264e-05,3.264e-05
22,5262.35,0.12301,0.04607,0.10808,11.5865,2.9472e-05,2.9472e-05,2.9472e-05
23,5482.39,0.13442,0.04607,0.10587,11.8084,2.6304e-05,2.6304e-05,2.6304e-05
24,5702.48,0.11877,0.04591,0.10461,11.7761,2.3136e-05,2.3136e-05,2.3136e-05
25,5926.29,0.1179,0.04607,0.10792,11.8293,1.9968e-05,1.9968e-05,1.9968e-05
26,6148.55,0.11548,0.04607,0.10224,11.8516,1.68e-05,1.68e-05,1.68e-05
27,6365.31,0.11567,0.04607,0.10382,11.7918,1.3632e-05,1.3632e-05,1.3632e-05
28,6582.35,0.11691,0.04607,0.10161,12.0317,1.0464e-05,1.0464e-05,1.0464e-05
29,6803.51,0.11924,0.04607,0.10398,12.1212,7.296e-06,7.296e-06,7.296e-06
30,7022.78,0.12024,0.04607,0.1035,11.9349,4.128e-06,4.128e-06,4.128e-06
