                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.081,                 1.2433,                 1.0988,                 0.7251,                0.64286,                0.73925,                0.37887,                 1.7014,                 3.7542,                 1.8677,                0.06775,             0.00032576,             0.00032576
                      2,                0.94708,                 1.0806,                 1.0364,                0.66828,                0.69643,                0.76745,                0.45993,                  1.357,                 4.6378,                 1.7257,               0.034728,             0.00063734,             0.00063734
                      3,                0.94919,                0.94809,                 1.0406,                0.82593,                   0.75,                0.87462,                0.41956,                 1.6686,                 9.7624,                  2.133,              0.0016845,             0.00092692,             0.00092692
                      4,                0.94435,                0.90975,                 1.0322,                0.77758,                0.76786,                0.82624,                0.46137,                 1.4875,                 3.6159,                 1.8773,               0.000901,               0.000901,               0.000901
                      5,                0.96224,                0.89958,                 1.0286,                0.69274,                 0.6442,                0.73978,                0.44683,                 1.4133,                 2.1157,                 1.8278,               0.000901,               0.000901,               0.000901
                      6,                0.90216,                0.84185,                 1.0079,                 0.6461,                0.83929,                0.73257,                0.47682,                 1.2339,                 2.3625,                 1.7461,               0.000868,               0.000868,               0.000868
                      7,                0.84845,                0.76589,                0.97934,                0.77987,                0.80357,                0.88477,                0.59623,                 1.1521,                 2.4459,                  1.428,               0.000835,               0.000835,               0.000835
                      8,                0.88685,                0.76578,                 1.0036,                0.70599,                0.81479,                 0.8733,                0.59392,                  1.174,                 2.4838,                 1.6212,               0.000802,               0.000802,               0.000802
                      9,                0.81269,                0.69788,                0.99827,                0.76265,                0.80357,                 0.8961,                0.62663,                 1.1487,                  2.635,                 1.6084,               0.000769,               0.000769,               0.000769
                     10,                0.79465,                0.70926,                0.98558,                0.82292,                0.91287,                0.96069,                0.66408,                 1.0603,                 1.3322,                 1.4298,               0.000736,               0.000736,               0.000736
                     11,                0.77249,                0.70664,                0.97091,                0.94347,                0.78571,                0.94543,                0.65001,                 1.0793,                 1.4827,                 1.4232,               0.000703,               0.000703,               0.000703
                     12,                0.80959,                0.71424,                0.98769,                0.92938,                0.91071,                0.95429,                0.68793,                 1.0232,                 1.1022,                 1.3571,                0.00067,                0.00067,                0.00067
                     13,                0.76923,                0.65443,                0.95972,                0.82039,                0.81571,                 0.9375,                0.63772,                 1.0743,                 1.6502,                 1.4419,               0.000637,               0.000637,               0.000637
                     14,                0.76759,                0.64997,                0.96267,                0.90837,                0.89286,                0.97001,                0.75103,                0.98603,                 1.3262,                  1.298,               0.000604,               0.000604,               0.000604
                     15,                0.76424,                 0.6128,                0.95611,                      1,                0.88673,                0.97794,                 0.7336,                0.89952,                0.94947,                 1.2834,               0.000571,               0.000571,               0.000571
                     16,                0.72624,                0.59244,                0.94791,                0.99434,                0.92857,                0.98865,                0.76091,                 0.8761,                0.82098,                 1.2525,               0.000538,               0.000538,               0.000538
                     17,                0.74374,                0.57838,                0.94576,                0.86964,                0.95307,                0.97909,                0.71086,                0.98479,                 1.0304,                 1.3272,               0.000505,               0.000505,               0.000505
                     18,                0.70979,                0.60124,                0.95724,                0.99237,                0.92857,                0.96256,                 0.7121,                0.95659,                0.86772,                 1.3506,               0.000472,               0.000472,               0.000472
                     19,                0.69829,                0.55853,                0.93558,                0.98554,                0.91071,                0.96825,                0.73032,                0.99459,                0.92649,                 1.4328,               0.000439,               0.000439,               0.000439
                     20,                0.70672,                0.54692,                0.94059,                0.94394,                0.90216,                 0.9566,                0.71519,                 1.0188,                0.94074,                 1.5144,               0.000406,               0.000406,               0.000406
                     21,                0.66982,                0.71943,                0.95922,                0.98082,                0.91322,                 0.9629,                0.75349,                0.89305,                0.87401,                 1.3892,               0.000373,               0.000373,               0.000373
                     22,                0.66332,                0.58895,                  0.956,                 0.9961,                0.92857,                0.98285,                0.81702,                0.75618,                0.74577,                 1.2253,                0.00034,                0.00034,                0.00034
                     23,                0.63027,                0.57958,                0.94425,                 0.9951,                0.92857,                0.98482,                0.81458,                0.76177,                0.72335,                 1.2173,               0.000307,               0.000307,               0.000307
                     24,                0.66209,                0.57359,                 0.9245,                0.99563,                0.92857,                0.96962,                0.80051,                0.77384,                0.80977,                 1.2417,               0.000274,               0.000274,               0.000274
                     25,                0.63985,                0.52894,                0.93892,                0.99505,                0.92857,                0.98508,                0.78331,                0.77892,                0.72036,                 1.2652,               0.000241,               0.000241,               0.000241
                     26,                0.63797,                0.56138,                0.94097,                0.98209,                0.97937,                0.99342,                0.78397,                0.78335,                0.65634,                 1.2375,               0.000208,               0.000208,               0.000208
                     27,                 0.6391,                0.50794,                0.92541,                0.98207,                0.97827,                0.99342,                0.81027,                0.77223,                0.63535,                 1.2193,               0.000175,               0.000175,               0.000175
                     28,                0.63258,                 0.4759,                0.91048,                0.98147,                0.94588,                0.98955,                0.81672,                0.77889,                0.63408,                  1.227,               0.000142,               0.000142,               0.000142
                     29,                0.58936,                0.46488,                0.91356,                0.97877,                0.92857,                0.97701,                0.80421,                0.75613,                0.66928,                 1.1871,               0.000109,               0.000109,               0.000109
                     30,                0.60844,                0.51609,                0.92032,                0.98025,                0.92857,                0.97266,                0.78122,                0.77426,                0.73035,                 1.1951,                7.6e-05,                7.6e-05,                7.6e-05
