                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6194,                0.62575,                0.85011,                 4.1874,             0.00023741,             0.00023741,             0.00023741
                      2,                 1.4103,                0.88845,                0.98264,                 3.7996,             0.00046196,             0.00046196,             0.00046196
                      3,                0.73738,                0.92584,                0.99464,                 3.7039,             0.00067305,             0.00067305,             0.00067305
                      4,                0.57062,                0.95424,                0.99748,                 3.6619,             0.00065341,             0.00065341,             0.00065341
                      5,                0.46397,                0.96213,                0.99858,                 3.6388,             0.00065341,             0.00065341,             0.00065341
                      6,                0.39471,                0.96876,                0.99937,                 3.6308,             0.00063322,             0.00063322,             0.00063322
                      7,                0.34913,                0.98075,                0.99953,                 3.6167,             0.00061302,             0.00061302,             0.00061302
                      8,                0.31117,                0.97965,                0.99905,                 3.6138,             0.00059282,             0.00059282,             0.00059282
                      9,                0.27449,                0.98422,                0.99953,                 3.6046,             0.00057263,             0.00057263,             0.00057263
                     10,                0.26529,                0.98612,                0.99953,                 3.6001,             0.00055243,             0.00055243,             0.00055243
                     11,                 0.2304,                0.99101,                0.99968,                 3.5959,             0.00053224,             0.00053224,             0.00053224
                     12,                0.21659,                0.98896,                0.99984,                 3.5927,             0.00051204,             0.00051204,             0.00051204
                     13,                 0.2121,                0.99164,                0.99937,                 3.5894,             0.00049184,             0.00049184,             0.00049184
                     14,                0.20412,                 0.9918,                0.99984,                 3.5904,             0.00047165,             0.00047165,             0.00047165
                     15,                0.18569,                0.99006,                      1,                 3.5902,             0.00045145,             0.00045145,             0.00045145
                     16,                 0.1804,                0.99243,                      1,                 3.5875,             0.00043126,             0.00043126,             0.00043126
                     17,                0.16657,                 0.9929,                0.99984,                 3.5859,             0.00041106,             0.00041106,             0.00041106
                     18,                0.17044,                0.99195,                0.99953,                 3.5871,             0.00039086,             0.00039086,             0.00039086
                     19,                0.13965,                0.99527,                0.99984,                  3.584,             0.00037067,             0.00037067,             0.00037067
                     20,                0.15132,                0.99542,                0.99984,                 3.5829,             0.00035047,             0.00035047,             0.00035047
                     21,                0.14551,                0.99448,                      1,                 3.5844,             0.00033028,             0.00033028,             0.00033028
                     22,                0.13859,                0.99621,                      1,                 3.5804,             0.00031008,             0.00031008,             0.00031008
                     23,                0.13478,                0.99542,                      1,                 3.5826,             0.00028988,             0.00028988,             0.00028988
                     24,                0.13278,                0.99464,                      1,                 3.5816,             0.00026969,             0.00026969,             0.00026969
                     25,                0.09798,                0.99763,                      1,                 3.5794,             0.00024949,             0.00024949,             0.00024949
                     26,                 0.1118,                0.99637,                0.99984,                 3.5804,              0.0002293,              0.0002293,              0.0002293
                     27,                0.09829,                0.99684,                      1,                 3.5798,              0.0002091,              0.0002091,              0.0002091
                     28,                0.10235,                0.99669,                      1,                 3.5792,              0.0001889,              0.0001889,              0.0001889
                     29,                 0.1049,                0.99732,                      1,                 3.5786,             0.00016871,             0.00016871,             0.00016871
                     30,                0.09403,                0.99732,                0.99968,                 3.5782,             0.00014851,             0.00014851,             0.00014851
                     31,                0.09335,                0.99748,                0.99984,                 3.5769,             0.00012832,             0.00012832,             0.00012832
                     32,                0.08977,                0.99763,                      1,                 3.5779,             0.00010812,             0.00010812,             0.00010812
                     33,                0.08677,                0.99763,                      1,                 3.5772,             8.7924e-05,             8.7924e-05,             8.7924e-05
                     34,                0.08318,                0.99763,                      1,                 3.5768,             6.7728e-05,             6.7728e-05,             6.7728e-05
                     35,                0.08803,                0.99763,                      1,                 3.5776,             4.7532e-05,             4.7532e-05,             4.7532e-05
