                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3362,                 3.3099,                 3.7621,                      0,                      0,                      0,                      0,                  3.135,                 4.6718,                 3.3478,                  0.091,                  0.001,                  0.001
                      2,                 3.6156,                 2.5478,                 3.1082,                      0,                      0,                      0,                      0,                 3.9127,                 10.919,                 3.8282,               0.081031,              0.0020307,              0.0020307
                      3,                 3.2115,                 2.4028,                 2.7706,                 0.0043,                0.16071,                0.00837,                0.00383,                 3.6991,                 7.5465,                 3.5822,               0.070989,              0.0029888,              0.0029888
                      4,                 2.8327,                   2.11,                 2.4854,                0.01337,                0.78571,                0.06946,                0.01276,                  2.486,                 181.17,                 4.8991,               0.060874,              0.0038743,              0.0038743
                      5,                 2.6649,                 1.9631,                 2.3081,                0.02067,                  0.375,                 0.0166,                0.00721,                 3.3114,                  684.8,                 499.96,               0.050687,              0.0046872,              0.0046872
                      6,                 2.4752,                 1.7941,                 2.2081,                0.06368,                0.48214,                0.06924,                0.02114,                 2.9723,                   1028,                  341.6,               0.040427,              0.0054275,              0.0054275
                      7,                 2.3351,                 1.6594,                 2.1563,                0.06368,                0.48214,                0.06924,                0.02114,                 2.9446,                 1114.9,                 299.05,               0.030095,              0.0060952,              0.0060952
                      8,                 2.2774,                 1.6449,                 2.1233,                0.03837,                0.85714,                0.04279,                0.01615,                 2.5604,                 469.11,                 98.208,                0.01969,              0.0066903,              0.0066903
                      9,                 2.1236,                 1.5705,                 2.0267,                0.03515,                0.83929,                0.04385,                 0.0166,                 2.4487,                  354.9,                 42.531,              0.0092128,              0.0072128,              0.0072128
                     10,                 1.9843,                  1.521,                 1.9438,                 0.0991,                0.39286,                 0.0891,                0.03331,                   2.36,                 145.86,                 24.246,                0.00703,                0.00703,                0.00703
                     11,                 1.8519,                 1.4521,                 1.8604,                0.04748,                0.85714,                0.20766,                0.06731,                 2.3312,                 52.367,                 30.522,                0.00703,                0.00703,                0.00703
                     12,                 1.8542,                 1.4455,                 1.8352,                0.27813,                0.46429,                 0.2407,                0.05777,                  2.314,                 5.3106,                 4.1644,                 0.0067,                 0.0067,                 0.0067
                     13,                 1.8465,                 1.3775,                  1.812,                0.45898,                0.53571,                0.42611,                0.15407,                 1.9991,                 5.2583,                 2.9336,                0.00637,                0.00637,                0.00637
                     14,                 1.8583,                 1.3615,                  1.803,                0.72392,                0.51786,                0.68085,                0.23153,                 1.9476,                 3.1016,                 2.6324,                0.00604,                0.00604,                0.00604
                     15,                  1.881,                 1.4502,                 1.8026,                0.55269,                0.53571,                0.56823,                 0.2626,                 2.0199,                 2.7757,                 2.4545,                0.00571,                0.00571,                0.00571
                     16,                 1.7532,                   1.34,                 1.7295,                0.68873,                0.53571,                0.61644,                0.24443,                 2.0371,                 2.0415,                 2.3462,                0.00538,                0.00538,                0.00538
                     17,                 1.6918,                 1.2778,                 1.7067,                0.32038,                0.41071,                0.27775,                0.10551,                 2.4956,                 3.2675,                 2.6006,                0.00505,                0.00505,                0.00505
                     18,                   1.73,                 1.3685,                 1.7484,                 0.3912,                0.58929,                0.41917,                0.15914,                  2.206,                 2.4993,                 2.3752,                0.00472,                0.00472,                0.00472
                     19,                 1.5878,                 1.2669,                 1.6672,                0.44413,                0.42857,                 0.3761,                0.13046,                 2.3788,                 3.0427,                 2.4636,                0.00439,                0.00439,                0.00439
                     20,                 1.5673,                 1.2503,                 1.6425,                0.70994,                0.58929,                0.64529,                0.23726,                 2.2098,                  2.024,                 2.3699,                0.00406,                0.00406,                0.00406
                     21,                 1.4418,                 1.3112,                 1.6041,                0.72426,                0.66071,                0.70384,                0.26444,                 2.0572,                 2.0909,                 2.2949,                0.00373,                0.00373,                0.00373
                     22,                 1.4551,                  1.292,                  1.589,                0.59411,                0.75806,                0.66567,                0.25267,                 2.0252,                 2.1836,                 2.2743,                 0.0034,                 0.0034,                 0.0034
                     23,                 1.3779,                 1.2758,                 1.5605,                0.57423,                0.84297,                0.69194,                 0.3464,                 1.8016,                 1.9744,                 2.2064,                0.00307,                0.00307,                0.00307
                     24,                 1.3169,                 1.1232,                 1.4845,                0.51419,                0.69643,                0.60021,                0.25257,                 1.9276,                 2.0417,                 2.2241,                0.00274,                0.00274,                0.00274
                     25,                 1.2487,                  1.042,                 1.4789,                0.62336,                0.76786,                0.69938,                0.31132,                 1.8524,                  1.852,                 2.1866,                0.00241,                0.00241,                0.00241
                     26,                   1.27,                 1.0596,                 1.4716,                0.71633,                0.81177,                0.78944,                 0.3418,                 1.7315,                 1.8241,                  2.154,                0.00208,                0.00208,                0.00208
                     27,                 1.3035,                 1.0638,                 1.4844,                0.65462,                0.81237,                 0.7682,                0.34436,                 1.7523,                 1.9595,                  2.154,                0.00175,                0.00175,                0.00175
                     28,                 1.2522,                 1.0126,                 1.4537,                0.63447,                0.73214,                0.76596,                0.36656,                 1.7718,                 1.9682,                 2.1562,                0.00142,                0.00142,                0.00142
                     29,                  1.232,                 1.0433,                 1.4498,                0.65261,                0.80357,                0.74857,                0.36852,                 1.7476,                 1.9427,                 2.1284,                0.00109,                0.00109,                0.00109
                     30,                 1.2171,                 1.0108,                 1.4592,                0.68235,                0.72887,                0.72419,                0.35919,                 1.7478,                 1.8294,                 2.1277,                0.00076,                0.00076,                0.00076
