                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7322,                 0.0396,                0.11676,                 4.5683,             0.00023742,             0.00023742,             0.00023742
                      2,                 1.5117,                0.04765,                0.10808,                 4.5584,             0.00046197,             0.00046197,             0.00046197
                      3,                0.80473,                0.04607,                0.10192,                 4.5573,             0.00067306,             0.00067306,             0.00067306
                      4,                0.59695,                0.04576,                 0.0923,                 4.5544,             0.00065341,             0.00065341,             0.00065341
                      5,                0.48897,                0.04702,                 0.1106,                 4.5557,             0.00065341,             0.00065341,             0.00065341
                      6,                0.42289,                0.04576,                0.09688,                 4.5542,             0.00063322,             0.00063322,             0.00063322
                      7,                0.38221,                0.04544,                 0.0994,                 4.5566,             0.00061302,             0.00061302,             0.00061302
                      8,                0.33291,                0.04623,                0.10555,                 4.5568,             0.00059282,             0.00059282,             0.00059282
                      9,                0.30513,                0.04591,                0.10098,                 4.5572,             0.00057263,             0.00057263,             0.00057263
                     10,                0.28119,                0.04654,                0.09908,                 4.5561,             0.00055243,             0.00055243,             0.00055243
                     11,                 0.2612,                0.04607,                 0.0923,                 4.5568,             0.00053224,             0.00053224,             0.00053224
                     12,                0.24472,                0.04623,                 0.0953,                 4.5567,             0.00051204,             0.00051204,             0.00051204
                     13,                0.23278,                 0.0456,                0.09672,                 4.5577,             0.00049184,             0.00049184,             0.00049184
                     14,                0.21619,                0.04639,                0.10966,                 4.5568,             0.00047165,             0.00047165,             0.00047165
                     15,                0.21432,                0.04465,                0.09924,                 4.5562,             0.00045145,             0.00045145,             0.00045145
                     16,                0.18422,                0.04607,                0.10682,                 4.5571,             0.00043126,             0.00043126,             0.00043126
                     17,                0.17477,                0.04591,                0.09972,                 4.5566,             0.00041106,             0.00041106,             0.00041106
                     18,                0.18015,                0.04654,                0.10476,                 4.5564,             0.00039086,             0.00039086,             0.00039086
                     19,                0.15092,                 0.0467,                0.10303,                 4.5561,             0.00037067,             0.00037067,             0.00037067
                     20,                0.16293,                0.04702,                0.10618,                 4.5561,             0.00035047,             0.00035047,             0.00035047
                     21,                0.14202,                0.04639,                0.10618,                 4.5561,             0.00033028,             0.00033028,             0.00033028
                     22,                0.13859,                0.04623,                0.09798,                 4.5563,             0.00031008,             0.00031008,             0.00031008
                     23,                0.14735,                0.04654,                 0.0994,                  4.556,             0.00028988,             0.00028988,             0.00028988
                     24,                0.12969,                 0.0467,                0.09956,                 4.5555,             0.00026969,             0.00026969,             0.00026969
                     25,                 0.1392,                0.04623,                 0.1054,                 4.5566,             0.00024949,             0.00024949,             0.00024949
                     26,                0.13547,                0.04639,                0.10571,                 4.5539,              0.0002293,              0.0002293,              0.0002293
                     27,                0.11781,                0.04654,                0.10287,                 4.5562,              0.0002091,              0.0002091,              0.0002091
                     28,                0.11056,                0.04623,                0.10429,                 4.5566,              0.0001889,              0.0001889,              0.0001889
                     29,                0.11102,                 0.0467,                0.10966,                 4.5562,             0.00016871,             0.00016871,             0.00016871
                     30,                0.10281,                 0.0467,                0.10745,                 4.5563,             0.00014851,             0.00014851,             0.00014851
                     31,                0.10663,                0.04623,                0.10855,                 4.5541,             0.00012832,             0.00012832,             0.00012832
                     32,                0.10533,                0.04639,                0.10697,                 4.5565,             0.00010812,             0.00010812,             0.00010812
                     33,                0.09778,                0.04623,                0.10366,                 4.5565,             8.7924e-05,             8.7924e-05,             8.7924e-05
                     34,                0.08857,                0.04639,                0.10571,                 4.5565,             6.7728e-05,             6.7728e-05,             6.7728e-05
                     35,                0.08759,                0.04623,                0.11139,                 4.5567,             4.7532e-05,             4.7532e-05,             4.7532e-05
